City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Sinop Province,41.7711,34.8709,37.09,51,26,9.71,1025,TR,1735876930
1,Pego,38.8527,-0.09,51.94,61,16,10.54,1024,ES,1735876931
2,Iqaluit,63.7506,-68.5145,19.13,85,100,0.0,1016,CA,1735876933
3,Qaqortoq,60.7167,-46.0333,28.99,94,99,5.73,1029,GL,1735876935
4,Utrik,11.2278,169.8474,81.0,78,99,14.61,1009,MH,1735876936
5,Invercargill,-46.4,168.35,58.01,74,92,13.0,1009,NZ,1735876937
6,Albany,42.6001,-73.9662,29.84,73,27,1.01,1011,US,1735876939
7,Kapaa,22.0752,-159.319,73.47,87,29,9.1,1017,US,1735876940
8,Wailua Homesteads,22.0669,-159.378,72.12,87,32,8.21,1017,US,1735876941
9,As Sulayyil,20.4607,45.5779,49.23,39,0,7.67,1028,SA,1735876943
10,West Island,-12.1568,96.8225,84.18,70,20,11.5,1009,CC,1735876944
11,Qal‘ah-ye Shahr,35.5473,65.5676,12.45,91,35,5.97,1032,AF,1735876945
12,Avarua,-21.2078,-159.775,80.65,89,40,6.91,1010,CK,1735876946
13,Ust-Nera,64.5667,143.2,-44.86,94,39,2.24,1047,RU,1735876947
14,Waitangi,-43.9535,-176.5597,60.82,97,100,5.01,997,NZ,1735876948
15,Semnan,35.5729,53.3971,31.33,55,0,0.54,1030,IR,1735876802
16,Port Mathurin,-19.6833,63.4167,78.42,68,1,16.91,1014,MU,1735876951
17,Alliance,40.9153,-81.1059,26.65,79,48,9.44,1022,US,1735876792
18,Funafuti,-8.5243,179.1942,82.4,83,100,2.3,1007,TV,1735876806
19,Ribeira Grande,38.5167,-28.7,65.77,94,99,21.0,1001,PT,1735876956
20,Puerto Ayora,-0.7393,-90.3518,74.55,97,28,3.0,1014,EC,1735876957
21,Greymouth,-42.4667,171.2,58.66,88,87,6.17,1000,NZ,1735876958
22,Daloa,6.8774,-6.4502,66.7,42,22,2.51,1011,CI,1735876959
23,Grytviken,-54.2811,-36.5092,50.52,79,14,11.39,1010,GS,1735876960
24,New Plymouth,-39.0667,174.0833,64.81,100,13,15.88,1001,NZ,1735876962
25,Ushuaia,-54.8,-68.3,49.66,71,20,5.75,1007,AR,1735876833
26,Touros,-5.1989,-35.4608,79.5,81,7,13.11,1010,BR,1735876964
27,Lamu,-2.2717,40.902,77.14,82,10,8.28,1013,KE,1735876966
28,Noshiro,40.2039,140.0242,31.03,54,100,11.34,1017,JP,1735876967
29,Lüderitz,-26.6481,15.1594,63.32,81,66,5.73,1009,NA,1735876968
30,Pita,10.8333,-12.5833,69.93,36,29,4.07,1012,GN,1735876969
31,Bilibino,68.0546,166.4372,-4.9,95,21,4.41,1032,RU,1735876970
32,Yellowknife,62.456,-114.3525,-30.44,75,0,6.91,1042,CA,1735876971
33,Saipan,15.1355,145.701,84.65,78,13,11.99,1010,MP,1735876973
34,Manicoré,-5.8092,-61.3003,73.87,99,100,1.52,1010,BR,1735876975
35,Aykhal,66.0,111.5,-31.29,100,98,5.19,1028,RU,1735876976
36,Ma’an,26.9775,110.7211,56.01,26,0,4.54,1027,CN,1735876977
37,Yamada,39.4667,141.95,35.24,33,49,8.55,1015,JP,1735876979
38,Glace Bay,46.1969,-59.957,36.99,88,75,13.8,993,CA,1735876980
39,Olonkinbyen,70.9221,-8.7187,17.22,74,100,31.88,1014,SJ,1735876981
40,Whitehorse,60.7161,-135.0538,-19.43,75,75,5.75,1038,CA,1735876982
41,Longyearbyen,78.2186,15.6401,24.64,58,75,19.57,994,SJ,1735876983
42,Port-aux-Français,-49.35,70.2167,42.26,99,100,13.02,997,TF,1735876984
43,Pariaman,-0.619,100.12,84.25,68,37,7.52,1011,ID,1735876985
44,Stony Plain,53.5334,-114.0021,-16.87,83,0,0.0,1045,CA,1735876810
45,Papatowai,-46.5619,169.4708,54.81,80,100,15.59,1008,NZ,1735876988
46,Usinsk,65.9939,57.5281,14.65,86,100,7.05,983,RU,1735876854
47,Geraldton,-28.7667,114.6,79.21,57,4,18.41,1012,AU,1735876990
48,Richards Bay,-28.783,32.0377,75.56,88,100,5.61,1014,ZA,1735876991
49,Muynak,43.7683,59.0214,31.55,88,25,9.13,1030,UZ,1735876992
50,Hawaiian Paradise Park,19.5933,-154.9731,73.87,89,25,4.21,1017,US,1735876994
51,Yuzhno-Kurilsk,44.0306,145.8556,25.72,56,98,12.66,1012,RU,1735876995
52,Koumra,8.9126,17.5539,69.98,17,76,5.41,1012,TD,1735876996
53,Punta Arenas,-53.15,-70.9167,51.91,62,40,16.11,1011,CL,1735876997
54,Ilulissat,69.2167,-51.1,28.42,100,100,9.22,1024,GL,1735876860
55,Hassi Messaoud,31.6804,6.0729,49.86,81,40,6.91,1022,DZ,1735876999
56,Orchard Homes,46.8633,-114.0484,30.92,96,100,5.01,1023,US,1735877001
